stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,102.16,0,4.09,0,0,0,0,0,0
72hpf,2.14,1.07,0,4.28,0,0,0,0,0,0,0,0,0,5.35,0,5.35,0,0,1.07,12.84,8.56,0,3.21,0,0,3.21,0,0,0
21Day,1.34,0,0,8.03,1.34,0,0,0,0,0,2.68,1.34,4.02,1.34,1.34,9.37,0,0,0,1.34,2.68,0,4.02,2.68,0,2.68,1.34,0,0
3Month,0,0,0.32,3.52,0,0.32,0.64,0,3.52,0.64,0,0,0.32,0.32,0.96,0,0.64,0,0,0,0,0.32,0,0,1.6,0.32,0,1.6,0.96
22Month,0,0,0,5.47,0,0,4.92,2.19,37.72,1.09,2.19,2.73,0,1.09,2.73,4.37,0,1.64,0.55,0,0,0.55,0.55,0,0.55,0.55,0,0,1.09
