stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,4.09,0,0,0,0,0,40.86,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,5.35,0,1.07,0,3.21,1.07,0,0,3.21,0,0,1.07,0,0
21Day,0,1.34,0,0,0,1.34,0,0,0,0,0,0,2.68,0,1.34,0,0,0,0,0,2.68,1.34,0,0
3Month,0.32,2.24,0.32,0,0.32,0.32,2.88,0.96,1.92,0,0,0.64,0.32,0,0,0,0.32,0,0,0.32,55.03,0.32,34.55,1.28
22Month,0,0.55,0,0,0,0,3.28,0,1.09,0,0,1.64,0.55,0.55,0,0,0,0.55,0,0,19.13,0,0,0
