stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,1.34,0,0,40.16,0,0,0,0,0,1.34,0,1.34,5.35,1.34,1.34,0,0,0,2.68,0,0,1.34,0,1.34,1.34,0,0,1.34
3Month,0,0.96,0.32,26.24,0.32,1.28,2.24,4.48,2.88,0,3.84,0.64,2.88,1.28,2.88,0.32,2.56,0.96,0.64,3.2,1.28,0,4.16,366.98,0,1.6,20.8,1.92
22Month,0,0.55,0,32.25,0.55,0,0,5.47,0.55,1.64,0,0.55,0,3.83,1.64,0,5.47,0,0,4.37,0,0,0,14.76,0,0,0,1.09
