stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,6.42,0,1.07,0,1.07,0,0,0,2.14,0,0,0,0
21Day,1.34,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,1.34,0,17.4,0,1.34,0,0,0,0,0,13.39,40.16,1.34,0,0
3Month,0.32,1.92,0.96,8.96,0.32,1.28,1.92,0,16.32,3.84,0,3.84,0.96,2.24,2.56,2.56,0.32,0,0,0,0.32,0,6.08,0,0.64,0.64,3.2,0,0.32,0,0.32,0.64,2.88
22Month,0,3.28,1.09,15.85,2.19,1.64,6.56,3.28,133.38,2.19,1.64,10.39,0.55,1.09,7.11,10.39,0,2.19,0,0.55,3.83,0.55,19.13,0.55,0,0,2.73,1.09,7.65,0,0.55,0,2.19
