stage,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,0,4.09,0
72hpf,1.07,0,2.14,2.14,1.07
21Day,0,4.02,0,0,0
