stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0
21Day,0,26.77,0,0,1.34,0,0,0,0,0,1.34,0,0,0,5.35,0,0,0,0
3Month,0,19.2,0.96,1.28,5.12,1.92,0.64,0.32,1.28,0.64,1.6,0.32,0.64,0.96,191.65,0.32,0.96,35.19,2.24
22Month,0.55,2.19,0,0,3.83,0,1.09,0,0,0,0.55,0,0,0,40.45,0,0,0,0.55
