stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0
72hpf,1.07,0,2.14,0,0,0,1.07,1.07,0,141.21,5.35,1.07,0,0,0,1.07,1.07,0
21Day,0,2.68,0,1.34,0,1.34,0,0,1.34,65.59,1.34,4.02,4.02,1.34,0,0,0,0
3Month,0,0.64,0,0,0.32,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0.32
22Month,0,0,0,0,4.92,0,0,1.09,0,0,0,0,0,0,0.55,0,0,0
