stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Mesenchymal_cell,Neural_cell,Osteoblast
72hpf,0,2.14,4.28,0,2.14,60.98,11.77
21Day,1.34,0,0,0,4.02,6.69,9.37
3Month,0,0,0,0.32,0.32,2.88,0
22Month,0,0,0,1.64,0,0,0
