stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,5.35,2.14,1.07,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,1.34,1.34,0,0,0
3Month,0,0.64,0.32,0.32,0,1.92,0.32,0.32,0.32,0.64,0.32,0.32,0.32,0.64,0,0,0,0.32,0.32
22Month,0.55,0,0,0,1.09,9.84,0.55,0,0,0.55,2.19,0,0,0,0,0,1.09,0,0
