stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,61.3,0,0,0,0,0,4.09,16.35,0,4.09,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,0,0,13.91,0,0,0,0,0,5.35,118.75,1.07,2.14,0,4.28,3.21,0,1.07,0,0,1.07,0,0,0
21Day,1.34,1.34,137.87,1.34,0,0,0,0,2.68,137.87,0,0,0,5.35,2.68,0,0,1.34,0,0,1.34,0,2.68
3Month,0,0,24.64,0,0.64,1.28,2.88,0.32,0,9.28,0.64,0,0.64,0.32,0,0.32,0,0.32,0.96,0,0,0.96,0.32
22Month,0,0,0,0,0,0,4.37,0,0,1.64,0.55,0,0,0,0,0,0,0,0,0,0,0,0
