stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,8.17,0,0,0,8.17,53.12,8.17,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,1.07,1.07,0,0,1.07,0,0,0,0,0,1.07,1.07,5.35,0,0,320.94,39.58,1.07,6.42,9.63,6.42,0,12.84,0,0,3.21,0,0,0
21Day,4.02,2.68,1.34,9.37,12.05,0,1.34,1.34,0,0,0,1.34,0,0,1.34,17.4,0,0,301.17,28.11,1.34,4.02,5.35,21.42,0,4.02,1.34,5.35,1.34,0,0,1.34
3Month,0,0,0,0.32,0,0,0,0.32,0,3.84,0,0,0.64,0.64,0.96,0.96,0.32,0.64,0.64,0,2.56,0,0,0.32,0.96,0.32,0,0,0,0.32,1.28,0.96
22Month,0,0,0,4.37,0,0.55,0,0.55,0,25.69,0.55,0,2.73,0,2.19,4.92,0,0,0,0.55,2.19,0,0,0.55,0.55,1.09,0,0,0,1.09,0,1.64
