stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Primordial_germ_cell,Radial_glia,Retinal_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,1.07,0,0,0,0,26.74,3.21,0,0,0,0,0,0,0
21Day,1.34,0,0,0,0,0,0,0,0,0,1.34,0,0,8.03,0,0,0,0,0,1.34,1.34,0
3Month,0,1.6,0,0.32,0,1.28,0.32,0,0,0.32,0.32,0,0,0,0,0.32,0,0,0.64,0,0,0.32
22Month,0.55,2.19,0.55,1.64,1.09,32.8,1.09,6.01,0,3.28,2.73,0.55,1.09,0,0,0.55,0.55,1.09,2.73,0,0,0
