stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,20.33,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,8.56,1.07,0,0,0,0,0,0
21Day,10.71,1.34,0,0,1.34,0,0,0,0,0,0,0,0,0,0,6.69,0,0,1.34,0,0,0,0
3Month,0.32,0,0.32,1.92,0,0,0,4.8,0.32,0,1.92,1.28,0.64,0.64,0.32,0.64,0,0.32,0,8,0.32,6.72,0.64
22Month,0,0,0,1.09,0,0.55,0.55,14.76,0.55,0.55,2.19,0,1.09,1.09,0,0,0,0.55,0,1.09,0,0,0
