stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,2.14,4.28,2.14,1.07,0,0,0,0
21Day,0,8.03,0,0,0,4.02,1.34,0,1.34,0,0,0,0
3Month,0,0.96,0.32,0.64,0.32,0.96,0.32,0,0,0.32,0.32,0.32,8.32
