stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,3.21,0,0,0,0,0,0,0,0,0,1.07,6.42,0,0,0,0,0,4.28,1.07,0,0,0,0,0,0,0,0
21Day,0,0,0,1.34,4.02,1.34,0,0,0,0,0,1.34,0,0,1.34,9.37,1.34,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0
3Month,0.64,0.96,0.64,5.44,1.92,0,0.64,3.84,0,17.6,0.96,0.64,4.16,1.28,2.24,6.4,0.64,1.92,0,0.32,0.32,0.32,0.32,0.64,0.32,0.32,0.64,2.56,0.32,68.15,2.88
22Month,0.55,1.09,1.09,6.01,0,0,0,3.83,1.64,74.89,1.09,1.09,10.93,0.55,1.09,3.83,9.29,0.55,1.64,2.73,0,0,0,0.55,0.55,0.55,0,2.73,0,0,0
