stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,4.09,0,0,16.35,65.38,0,0,0,0,0,0,0,0,0,0
72hpf,5.35,2.14,6.42,0,2.14,0,0,0,0,0,0,0,0,3.21,7.49,0,24.61,0,1.07,1094.4,31.02,1.07,0,20.33,0,0,5.35,0,2.14,0,0
21Day,5.35,0,4.02,1.34,8.03,2.68,0,0,1.34,0,1.34,0,2.68,1.34,4.02,0,60.23,1.34,0,310.54,14.72,0,1.34,10.71,10.71,0,1.34,4.02,1.34,2.68,0
3Month,0.32,0,3.52,0,0,0,0.32,0.32,0,2.56,0.64,0,0.96,5.76,1.92,0.64,4.8,0.96,0.32,19.2,0,1.6,0,0.32,0,0.64,0,0,0,0.32,1.28
22Month,0,0,2.19,0,0,0,0.55,3.28,1.09,18.04,0,1.09,3.28,1.09,0.55,1.09,4.37,0.55,0,8.2,0,0,0.55,0,0,2.19,1.09,0,0,0,0
