stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,0,19.26,704.99,4.28,0,0,0,0,0,0,0,0,54.56,0,4.28,0,0,0,228.94,18.19,0,11.77,0,0,0,1.07,0,0,0,0
21Day,1.34,0,1.34,12.05,610.37,8.03,2.68,1.34,2.68,2.68,0,5.35,1.34,1.34,84.33,2.68,46.85,0,2.68,0,24.09,2.68,1.34,0,17.4,0,0,5.35,1.34,4.02,0,1.34
3Month,0,0,0.96,2.88,94.07,0,0,0.32,1.28,11.84,0.96,0,1.28,0,2.88,0.32,2.24,0.64,0,0.32,0.96,0,0,0,1.92,0.32,3.52,0,0,0,0.96,0.32
22Month,0,0.55,0,0,18.04,0,0,0.55,0,2.73,0,0,0.55,0,1.64,0,0.55,0,0,0,0.55,0,0,0,0,0,16.95,0,0,0,0,0
