stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neurosecretory_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,24.61,0,0,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,2.14,0,0,0,0,0,0
21Day,9.37,0,0,12.05,1.34,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0
3Month,5.76,0.32,0,1.92,0,0.32,1.6,3.84,0.64,0,3.52,0.32,0.64,0.32,1.28,0,4.48,0,3.84,0,0.32,2.24,0.96
22Month,2.73,0,0.55,3.28,0,0,2.73,22.96,0.55,0.55,1.64,0,0.55,4.37,3.28,0.55,2.19,0.55,1.64,0.55,0,0,1.64
