stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,1.07,0,1.07,0,0,0,0
21Day,1.34,0,2.68,1.34,8.03,0,2.68,0,0,0,0,1.34,8.03,0,0,0,4.02,0,0,0,0,1.34,0,0,1.34,0,0,0
3Month,0,0.64,0.32,4.8,0,0.64,0,0,0.32,47.99,0.96,0,55.67,1.92,0.96,0.64,0.96,0.32,0.32,0.32,0.64,0,2.56,0,2.56,2.24,0.64,0.64
22Month,0,0.55,0,1.09,0,0,0,1.64,1.09,16.95,0,0,58.49,0,0,0,0.55,0,0,0,0,0,0,0,0,0.55,0,0
