stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,2.14,0,0,0,0,0,0
21Day,0,0,13.39,0,1.34,0,0,0,0,0,1.34,1.34,0,20.08,10.71,1.34,1.34,0,0,0,1.34,1.34,0,0,0,0,6.69
3Month,1.6,0.96,14.08,0.32,0,4.48,4.8,0.32,4.8,12.8,0.96,17.92,0.32,2.24,9.92,2.88,1.6,0.32,0.32,0.32,0.32,0,0.96,0,6.08,0.64,21.12
22Month,4.37,1.09,6.56,0,0,2.73,7.11,0,8.75,2.19,0,17.49,0,1.09,19.13,2.19,2.19,0,0,0,0,0,0,0.55,2.19,0,10.39
