stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell
24hpf,12.26,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0
72hpf,2.14,1.07,0,0,0,0,0,1.07,0,2.14,0,3.21,0,0,0,0
21Day,4.02,0,2.68,1.34,0,0,0,5.35,0,0,0,0,0,0,0,0
3Month,0,0,0,0,1.6,0.64,0.64,0.64,0.32,0,0.32,0,0.32,0.64,0,1.6
22Month,0,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0.55,0
