stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,12.26,0,0,4.09,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,3.21,17.12,6.42,0,0,0,0,1.07,0,0,0,0,0,0,1.07,13.91,1.07,25.67,0,0,0,1.07,847.27,26.74,0,3.21,22.47,0,1.07,7.49,1.07,0,1.07,0,0,0
21Day,4.02,0,16.06,5.35,0,1.34,0,0,1.34,0,0,1.34,0,5.35,6.69,1.34,9.37,2.68,24.09,0,0,8.03,0,299.83,13.39,2.68,0,18.74,1.34,0,0,2.68,4.02,1.34,0,0,4.02
3Month,0.64,1.6,11.2,0,0.32,0,1.6,0,3.52,0,0,6.4,31.04,0,3.52,0.64,2.24,9.92,8,3.52,0,2.56,0,5.12,0,0.64,0,0,1.28,30.08,0.64,0,0,0,30.08,2.88,0.64
22Month,0.55,2.73,1.09,0,0,0.55,0.55,1.09,2.19,26.79,0,26.24,4.37,0,2.19,0.55,0.55,18.59,17.49,1.64,0,2.73,0,7.65,0.55,1.64,0,0,0.55,22.41,1.09,0.55,0,0,7.65,0,0.55
