stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,4.09,4.09,16.35,8.17,0,0,4.09,0,36.78,0,12.26,249.27,8.17,0,8.17
72hpf,0,1.07,2.14,0,0,0,3.21,0,2.14,0,5.35,2.14,0,0,0
21Day,2.68,0,1.34,0,1.34,2.68,0,1.34,5.35,0,0,2.68,1.34,1.34,0
3Month,0,0,0,0,0.64,0,0.64,0.32,0,0.32,0,0,0,0,0
