stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,118.51,130.76,212.49,8.17,16.35,0,0,0,28.6,0,0,0,4.09,69.47,555.75,114.42,404.55,32.69,0,0,118.51,2876.83,4.09,0,73.56,0,0,0,0,0,16.35,0
72hpf,80.23,92,257.82,19.26,58.84,1.07,3.21,1.07,0,0,0,2.14,0,35.3,507.08,13.91,368.01,2.14,6.42,9.63,737.09,301.68,6.42,3.21,210.75,0,12.84,47.07,1.07,3.21,31.02,0
21Day,0,1.34,13.39,0,0,0,0,0,0,0,0,0,0,0,4.02,0,25.43,0,5.35,0,6.69,2.68,0,0,9.37,1.34,12.05,1.34,0,1.34,0,0
3Month,0,0,0.64,0,0,0,0.96,0,0,0.96,0.64,0,0.64,0,0.32,0.32,0.64,0,0,0,0,0,0.32,0.32,0,0.32,13.76,0,0,0,0,2.88
22Month,0,0,0.55,0,0,0,0,6.56,0,8.2,0,0,1.09,0,0.55,0,1.64,2.73,0,0,0,0,0,0,0,0,6.56,1.09,0.55,0,0,0
