stage,Hepatocyte,Ionocyte,Macrophage,Nephron_cell,Neural_cell,Neural_progenitor_cell
24hpf,0,4.09,4.09,4.09,24.52,4.09
72hpf,0,0,0,0,1.07,0
21Day,0,0,4.02,0,1.34,0
22Month,1.09,0,0,0,0,0
