stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,4.09,20.43,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,2.14,0,0,0,0,0,0,0,0,0,2.14,36.37,0,7.49,0,0,0,0,2.14,6.42,0,10.7,0,0,0,0,0,0,0
21Day,0,0,0,21.42,1.34,1.34,0,1.34,0,0,0,0,9.37,1.34,26.77,0,26.77,0,0,2.68,0,1.34,1.34,0,16.06,4.02,0,1.34,0,0,0,0
3Month,0.32,0.96,0.96,15.68,0,0,0.32,43.19,1.6,0,8.64,1.92,82.87,0.96,1.6,0.96,5.44,2.88,0,4.8,0.32,0.32,0,1.6,0,2.24,0.64,0,0.32,0.64,2.24,0.96
22Month,0,1.64,2.73,3.83,0,0,0,15.85,2.19,1.64,15.31,0.55,76.53,0,0,1.09,16.4,0,1.09,4.37,0,0,0,1.64,0,1.09,0,0,0,0,0,0.55
