stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,4.09,0,0,0,0,0,359.6,12.26,4.09,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,18.19,3.21,0,0,0,0,0,0,0,1.07,600.15,0,7.49,0,0,22.47,9.63,0,6.42,0,0,2.14,0,0,1.07,0,0,0
21Day,1.34,21.42,1.34,0,0,0,1.34,0,1.34,0,0,208.81,0,1.34,0,0,5.35,0,0,0,1.34,0,0,1.34,1.34,0,0,0,0
3Month,0,31.99,0,0.64,0.32,0,6.72,0.32,0,0.64,0.64,0.32,0.64,0.32,0,0.32,0,0,0,0,0.32,3.84,0,0,0,0,0.32,1.28,0.32
22Month,0,0,0,1.09,0,0,7.65,0.55,0,0,0,0,1.09,0,0.55,0,0,0.55,0.55,0,0,4.37,0,0,0,0,0,0,0.55
