stage,Cardiomyocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0
3Month,0,2.88,0.32,0.64,0.32,4.16,1.92,2.88,0.32,0.96,0.64,0.64,0.64,0,0,0.64,0.32,0.32,0.64,0.96,0.96,1.6
22Month,0.55,0,0,0.55,0.55,9.29,0,1.64,0,0,1.09,2.19,0,0,0,0,0.55,0,0,0.55,0,0
