stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Radial_glia
24hpf,8.17,0,0,16.35,0,0,0,0,4.09,0,0,0,0,4.09,4.09,4.09,0,0,151.2,0,0,4.09,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,0,1.07,0,0,0,1.07
22Month,0,3.28,1.09,6.01,0.55,0.55,0.55,1.09,0,43.19,3.28,0.55,0,0.55,0.55,2.19,1.09,2.73,0,0.55,97.3,0,0
