stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,8.17,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0
21Day,0,0,2.68,0,0,1.34,1.34,1.34,1.34,1.34,1.34,1.34,0,0,2.68
3Month,0,0,0.64,0,0,0.32,0,0,0,0,0,0,1.28,0.32,0
22Month,0,0,0.55,0.55,1.09,0.55,0,0,0,0,0,0,0,0,0
