stage,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.47,3.21,0,0,0,18.19,12.84
21Day,0,1.34,2.68,0,0,0,1.34,0,0,0,0,5.35,2.68,0,20.08,1.34,0,1.34,0,34.8,112.44
3Month,0,0.32,0,0,0.32,0.32,1.28,0,0,0.64,0.32,0,0.64,0,0,0,0,0,0.32,0,0
22Month,0.55,2.73,0,0.55,0.55,0,7.11,0.55,0.55,0,0.55,0.55,0,0.55,2.19,0,0.55,0,1.09,6.56,0
