stage,Cardiomyocyte,Epithelial_cell,Erythroid_progenitor_cell,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,0,0,0,0,1.07,0,0,42.79,4.28,1.07,0,0,0,0,0,1.07,0,0
21Day,1.34,0,1.34,0,0,0,0,0,0,0,0,16.06,0,0,1.34,0,0,1.34,1.34,1.34,0,0
3Month,0,0.96,0,0,11.84,0.32,0.64,0.64,0.64,0.32,0,0,0,0,0,0.32,1.28,0,0,0,0.32,0.32
22Month,0.55,0,0,0.55,10.39,0.55,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0
