stage,Endothelial_cell,Enterocyte,Granulocyte,Hepatocyte,Macrophage,Mesenchymal_cell,T_cell
3Month,0.32,0,0,0,0,0,0.32
22Month,0,0.55,0.55,0.55,0.55,0.55,0
