stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,2.14,0,0,0,3.21,1.07,0
21Day,0,0,2.68,4.02,0,0,0,0,1.34,0,1.34,0,0,0,4.02,0,0,0,37.48,0,0
3Month,0,0,0.64,0,0.32,0.64,4.16,0,0,0.64,0,0.32,0.32,0,0,0,0.32,1.28,0,0,7.04
22Month,0.55,0.55,0.55,0,0,1.09,24.6,1.09,0,1.09,0,0,0.55,0,0,0.55,0,1.09,10.39,0,0
