stage,Epithelial_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Osteoblast,Radial_glia,T_cell
24hpf,0,0,0,0,4.09,0,0,0,0
72hpf,0,0,1.07,0,3.21,2.14,1.07,0,0
21Day,2.68,1.34,0,1.34,4.02,2.68,0,1.34,1.34
