stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,2.14,0,1.07,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,1.34,0,0,0,0,0,1.34,0,0,1.34,0,0,0,0,0,0
3Month,0,0,2.88,0.64,0.32,0,3.2,1.92,0,1.6,0.64,0.64,0.64,0.64,0.32,0,0.32,0,0.32,1.28,0.64,0.64
22Month,0.55,0.55,0.55,0,0,3.28,3.28,0.55,1.09,0.55,1.09,2.19,0.55,0,0,0,0,0.55,0,0,0,0
