stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia
24hpf,0,0,0,0,0,0,16.35,0,0,0,0,4.09,0,0,0
72hpf,2.14,1.07,1.07,0,0,0,0,1.07,2.14,1.07,99.49,1.07,6.42,0,1.07
21Day,1.34,1.34,2.68,0,0,0,1.34,0,2.68,0,46.85,0,0,2.68,0
22Month,0,0,0,0.55,5.47,0.55,0,0,0.55,0,0,0,0,0,0
