stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia
24hpf,0,0,0,0,0,0,0,24.52,0,0,0,0,0
72hpf,0,0,0,0,0,1.07,1.07,2.14,0,0,0,0,1.07
21Day,1.34,0,0,0,0,0,0,0,1.34,0,1.34,0,0
3Month,0,0,1.92,0.32,0.32,0.64,0,0,0,0.32,0,1.28,0
22Month,0,0.55,1.09,0,0,0,0,0,0,0,0,0,0
