stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,4.09,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,4.09,16.35,0,0,4.09,0,0,0,0,0,0,0
72hpf,5.35,3.21,0,4.28,0,0,0,0,0,1.07,2.14,0,2.14,1.07,0,0,513.5,17.12,0,1.07,4.28,0,4.28,6.42,5.35,1.07,0,0
21Day,1.34,13.39,1.34,6.69,2.68,0,0,5.35,1.34,0,1.34,1.34,6.69,0,1.34,0,244.95,2.68,1.34,1.34,2.68,10.71,1.34,16.06,14.72,2.68,0,4.02
3Month,0,0.32,0,0,0,0.32,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0
22Month,0,0,0,0,0,0,4.37,0,1.09,0,0.55,0.55,0.55,0,0,0.55,1.09,0,0,0,0,0.55,0.55,1.64,0,0,0,0
