stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,32.69,4.09,0,32.69,0,0,0,0,12.26,0,0,0,0,4.09,24.52,122.59,0,0,61.3,1454.76,0,0,8.17,0,0,0,0,0
72hpf,17.12,0,0,6.42,1.07,0,0,0,0,0,0,0,1.07,10.7,1.07,25.67,0,0,302.75,44.93,0,2.14,55.63,0,1.07,16.05,0,0
21Day,12.05,0,0,0,2.68,0,0,0,0,0,0,0,1.34,1.34,0,33.46,0,0,13.39,9.37,0,0,49.53,0,0,1.34,0,0
3Month,0,0.32,0,5.44,0,0.96,1.28,0,0,2.88,0,0.32,0.32,1.28,0.32,37.11,1.28,0,0,0.32,0.32,0.64,0.32,0.32,13.44,0,2.24,0.32
22Month,0,1.64,1.09,1.64,0,1.64,2.73,0.55,0,11.48,1.09,0,0,0,2.73,50.84,0.55,0.55,0.55,0,0.55,0.55,0,0,14.21,0,0,1.64
