stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,20.43,0,0,0,0,0,0,0,0,0,0,8.17,0,4.09,0,0,0,0,28.6,0,0,0,0,0,0,0,0
72hpf,7.49,0,1.07,5.35,0,0,0,0,0,0,0,7.49,0,6.42,0,0,0,243.91,16.05,0,1.07,1.07,0,0,12.84,0,0
21Day,5.35,0,4.02,1.34,0,0,0,0,0,0,2.68,1.34,0,4.02,0,0,2.68,105.74,5.35,0,1.34,1.34,2.68,1.34,6.69,0,1.34
3Month,0.32,0,2.56,0,0.32,0.32,0,6.08,1.28,0.96,0,0.64,1.28,2.56,3.84,0,0.32,0.32,0,0.32,0.32,0,0,1.28,1.6,0.64,1.92
22Month,2.19,1.09,0,0,0,3.83,1.09,24.6,0,3.83,0.55,0,0.55,2.19,0.55,0.55,0,0,0,0.55,2.19,0,0,2.19,0.55,0,0
