stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hatching_gland,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,0,4.09,4.09,0,4.09,4.09,0,24.52,0,0,0,0
72hpf,0,1.07,0,1.07,0,1.07,8.56,6.42,0,0,0,1.07
21Day,1.34,1.34,0,0,0,0,1.34,5.35,1.34,1.34,1.34,0
