stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,4.09,0,4.09,0,0,0,0,0,0,0,0,0,4.09,4.09,53.12,0,0,4.09,12.26,514.89,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,3.21,2.14,0,0,0,0,0,0,0,1.07,0,5.35,19.26,0,0,0,34.23,82.37,0,0,4.28,0,0,5.35,0,1.07,0,0,0,0
21Day,4.02,0,0,12.05,4.02,0,0,0,0,0,2.68,0,0,0,10.71,6.69,0,8.03,0,10.71,21.42,1.34,1.34,2.68,1.34,0,5.35,0,0,0,0,0,1.34
3Month,0,1.6,1.28,87.67,0,0.32,0.32,4.16,10.24,8.64,0,5.44,1.92,2.56,11.52,6.72,2.56,21.12,8.64,3.84,0.64,1.6,2.24,0.32,0,33.27,0.32,0.32,0,0.32,0.64,140.46,4.16
22Month,0.55,1.64,0.55,52.48,0,0,0,16.95,15.85,3.83,0,2.19,0.55,0.55,31.71,1.64,0,15.31,0,1.64,0.55,1.64,4.92,0.55,0,16.4,0,0,0,0,0,2.19,1.09
