stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,4.09,73.56,0,0,0,4.09,0,0,0,0,0,0
72hpf,1.07,0,2.14,3.21,0,1.07,0,0,0,0,0,2.14,0,0,0,0,4.28,0,0,0,0,8.56,0,0,0,1.07,0,0,0,0,0,0
21Day,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,1.34,0,0,0,1.34,1.34,0,0,0,0,0,0,1.34,0,0,0
3Month,0,0.64,9.28,0,0.32,0.32,1.28,1.28,0,10.56,1.28,0,2.88,1.6,0.96,2.56,1.92,0.32,0.96,0.64,1.28,0.32,0.64,0.96,0,0.32,1.92,21.44,0.64,0.64,474.8,2.56
22Month,0,0,0.55,0,0.55,0,0,0.55,0.55,3.28,0,0,0.55,0,0,0.55,0,0,0,0,0,0,0,0,2.19,0,0,9.29,0,0,1.09,0
