stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell
24hpf,4.09,4.09,0,0,0,0,0,0,8.17,4.09,16.35,0,0,0,0,0,0
72hpf,1.07,1.07,0,1.07,0,0,3.21,0,2.14,167.96,14.98,1.07,1.07,6.42,1.07,2.14,0
21Day,2.68,0,1.34,0,1.34,0,2.68,0,1.34,41.49,4.02,1.34,0,0,1.34,2.68,0
22Month,0,0,0,0,0,7.11,0,0.55,0,0.55,0,0,0,0,0,0,0.55
