stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,4.09,0,0,0,0,0,36.78,0,0,0,0,0,8.17,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,0,0,0,0,0,0,0,0,1.07,3.21,0,0,0,32.09,0,0,0,2.14,0,0,0
21Day,0,0,2.68,0,0,0,0,0,2.68,0,0,1.34,1.34,1.34,0,0,0,13.39,0,0,0,0,0,0,1.34
3Month,0,0.32,1.92,0,0,0.64,13.44,5.44,78.71,2.56,0.32,1.6,3.2,0.64,0,0.32,0.32,0,0,0.64,2.24,0,0.32,13.44,0.32
22Month,0,0,0,0,0.55,0,27.88,5.47,43.73,1.09,0,0,7.11,0.55,0.55,0,0,0,0,0,0.55,0,0,0.55,0
