stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.3,212.49,0,0,0,0,0,0,0,0,0,0,0
72hpf,20.33,2.14,0,11.77,18.19,0,0,0,0,0,0,0,0,0,5.35,26.74,1.07,31.02,0,0,0,1.07,2441.26,240.7,2.14,8.56,25.67,0,0,31.02,1.07,0,3.21,0,0
21Day,6.69,0,0,8.03,18.74,0,1.34,0,0,0,2.68,0,2.68,2.68,1.34,12.05,8.03,5.35,0,0,2.68,0,575.57,109.76,2.68,0,9.37,20.08,1.34,9.37,1.34,5.35,1.34,0,0
3Month,0,0.96,0,3.2,0,0,0,0,2.24,0,6.08,0.96,0,2.24,0,0.96,1.28,1.92,0.64,0,0.32,0.32,1.92,0.96,0.64,0,0.32,0,3.52,0.32,0,0,0.32,15.68,0.96
22Month,0,2.73,0.55,6.01,0,0.55,0,1.09,4.37,1.09,66.69,3.28,0.55,6.56,0,1.09,2.73,3.83,0,0.55,0,0,3.83,1.64,3.28,0,0,0.55,1.09,2.73,0,0,0,0,1.64
