stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,2.14,0,0,0,0,0,0,0,0,0,3.21,1.07,0,1.07,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,8.03,0,0,0,0,0
3Month,0.96,4.48,0.32,0.32,0.32,0.96,0,0,1.28,0.32,0.32,0.64,7.68,0.32,0,0.32,0.32,3.2
22Month,0.55,0.55,0,0,0,0,1.09,0.55,2.19,0,0,0,3.28,0,0,0,0,0
