stage,Epithelial_cell,Hepatocyte,Ionocyte,Muscle_cell,Pancreatic_cell,Primordial_germ_cell
21Day,0,0,0,0,1.34,0
3Month,0.96,0,0.32,0.96,0,0.32
22Month,0,0.55,0,0,0,0.55
