stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell
24hpf,0,16.35,0,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,9.63,0,0,0,0,1.07,11.77,1.07,0,25.67,3.21,0,1.07,3.21,5.35,0
21Day,1.34,4.02,6.69,0,0,0,0,1.34,1.34,0,6.69,0,0,2.68,0,2.68,0
22Month,0,4.37,0,3.28,0.55,0.55,0,2.73,0,0.55,1.09,0,0.55,0,0,0,0.55
