stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,4.09,4.09,20.43,0,0,0,0,0,4.09,24.52,16.35,8.17,0,0,28.6,143.02,0,4.09,0,0,0,0,0
72hpf,3.21,1.07,3.21,1.07,0,0,0,0,3.21,26.74,0,6.42,1.07,0,18.19,13.91,3.21,5.35,0,0,1.07,0,0
21Day,2.68,0,13.39,0,1.34,0,2.68,0,0,5.35,2.68,2.68,0,1.34,5.35,2.68,0,4.02,0,0,0,1.34,1.34
3Month,0,0,0.64,0,0.32,0.32,0,0.32,0,0.32,0.96,0,0,0,0,0,0,0,0.32,0.96,0,0,0
22Month,0,0,0,0,0,0.55,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
