stage,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,12.26,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,1.07,0,0,0,0,0,0,0,5.35,0,0,0,9.63,0,0,0,0,0,0
21Day,2.68,1.34,0,0,0,0,0,0,0,0,1.34,0,12.05,0,5.35,0,2.68,1.34,0,0,0,1.34,0
3Month,13.44,6.08,0.32,0.32,0.64,0,1.6,20.48,0.32,0.32,0.32,0.32,4.8,0.32,1.28,0,0.96,0,0,0,0.32,23.36,0.32
22Month,38.81,21.32,0,0.55,0.55,12.03,3.83,4.37,0,0,1.09,1.09,7.65,0.55,1.09,0,0,0,0.55,1.09,0,4.92,1.09
