stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,12.26,0,0,0,0,28.6,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,2.14,0,2.14,0,1.07,0,0,0,0,0,0,1.07,0,1.07,8.56,1.07,4.28,0,0,0,10.7,10.7,0,0,3.21,0,0,3.21,1.07,0,0,0,0
21Day,1.34,2.68,1.34,13.39,1.34,8.03,0,2.68,0,0,0,0,2.68,0,0,2.68,1.34,10.71,0,2.68,0,9.37,9.37,0,0,2.68,0,0,4.02,0,2.68,0,0,0
3Month,0,1.28,0.64,17.28,0,0,0.32,0,2.24,3.52,13.44,1.28,0.32,4.48,0.32,2.56,2.56,4.8,0,0.64,0.64,1.28,0,0.64,0.32,0.96,0.32,4.8,0,0,0,2.24,5.12,1.92
22Month,0,2.19,0,6.01,0,0,0.55,0,1.64,2.73,17.49,1.09,0,7.11,0,0.55,3.28,3.83,1.09,0,0,1.09,0,1.09,0,0,0.55,2.19,0.55,0.55,0,0,0,2.19
