stage,Epithelial_cell,Hepatocyte,Keratinocyte,Macrophage,Neural_cell,Oligodendrocyte
72hpf,0,0,2.14,0,1.07,0
21Day,0,0,16.06,0,0,0
3Month,3.52,0,0.32,0,0,0.32
22Month,0.55,0.55,0,0.55,0,0
