stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_progenitor_cell
21Day,0,0,0,0,0,0,0,0,1.34
3Month,0.32,0.32,0.32,0,0,0.32,0.32,0.32,0
22Month,0,0,1.09,0.55,0.55,0,0,0,0
