stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,4.09,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,0,0,2.14,1.07,0,0,1.07,0,0,0,0,0,0
21Day,0,0,1.34,0,0,0,0,0,0,0,0,0,2.68,1.34,1.34,2.68,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,1.34
3Month,1.6,2.24,23.36,0.32,0,1.6,8.32,0,11.52,2.24,1.28,15.04,3.2,6.72,7.36,4.16,0.32,0.32,0.64,1.6,0.64,0,0.32,0,0.64,1.28,1.28,0.32,1.92,1.28,4.16
22Month,0,0,1.64,0,0.55,1.64,1.09,0.55,14.21,0.55,0,12.03,0,0,1.64,0,0,0.55,1.09,0,0,0,0.55,0.55,0,0.55,2.19,0,0,0,1.64
