stage,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,1.34,0,0,0,0,0,0,1.34,0,0,0,0,1.34,0,0,0,1.34,0,0,0,0
3Month,1.6,0.32,0,1.92,0.32,0.32,0.32,3.52,2.88,0.32,1.6,0.32,0.64,1.6,0.96,0,0.32,9.92,0,2.24,0.64
22Month,0.55,0.55,1.09,4.92,0,0,0,1.09,1.09,0,0,0,0.55,0,0,0.55,0,3.28,0.55,0,0
