stage,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,12.26,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,13.91,0,0,0,0,0,0,0,0
21Day,6.69,1.34,0,0,0,0,0,4.02,0,0,0,1.34,0,0,0,0,5.35,4.02,0,0,0,1.34,1.34,0,0
3Month,2.24,0,0.64,0.32,0,1.6,0.96,0,1.92,0.32,0.96,1.92,0.32,0,0.32,0.32,0.32,0,0.32,0.32,2.24,0,0,0.64,0.64
22Month,0.55,0,0,1.64,0.55,6.01,0.55,0,2.19,0,0.55,1.64,0,0.55,0,0,0,0,0,0,0,0,0,0,0
