stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.95,49.04,4.09,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,1.07,0,0,0,1.07,0,3.21,33.16,1.07,1.07,0,0,0,2.14,1.07,0,0,0,0,0,1.07,1.07,0,0,0
21Day,2.68,0,0,5.35,1.34,0,0,0,2.68,0,0,1.34,24.09,0,0,1.34,12.05,1.34,0,0,0,1.34,0,0,0,1.34,0,0,0,2.68,0,0,18.74
3Month,0.64,1.28,0,18.56,0,3.52,0.32,1.6,88.31,0.32,7.04,64.95,23.68,31.36,1.28,3.52,68.15,32.95,7.68,1.92,1.28,0.32,0,0.32,0,0.32,2.24,0.32,2.24,0.64,2.24,3.2,221.72
22Month,0,0.55,1.64,6.01,0,1.64,0,0.55,117.53,0.55,8.2,19.68,20.23,18.04,0,1.09,57.95,5.47,0.55,0.55,0,0,0,0,0.55,0,0.55,0,0,0,0,0,54.12
