stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,2.14,3.21,0,0,0,0,0,0,0,0,0,0,2.14,0,17.12,0,0,6.42,0,42.79,7.49,1.07,0,36.37,36.37,0,0,0,1.07,0,0,0,0
21Day,1.34,6.69,14.72,1.34,0,0,0,0,4.02,0,1.34,4.02,0,4.02,1.34,13.39,0,0,33.46,0,40.16,4.02,0,0,4.02,74.96,0,0,0,2.68,0,0,0,0
3Month,0,31.36,62.07,0,1.92,2.56,3.84,0.32,33.27,2.56,0,4.16,2.88,6.4,2.24,38.39,3.84,0,40.63,0.64,4.48,0,31.04,0,0,54.39,0.32,7.36,2.88,0,1.28,12.8,2.56,2.88
22Month,0,69.97,141.58,0,1.09,1.64,3.83,230.69,64.51,3.28,0.55,5.47,3.28,1.64,5.47,41,1.09,2.19,45.37,0,7.11,0.55,18.04,1.09,0,25.15,0,3.28,18.04,0,7.65,8.2,0,1.64
