stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,4.09,0,0,0,0,0,0,0,49.04,4.09,0,0,0,0,4.09,0,4.09,0,0,0,0,0,0
72hpf,2.14,0,3.21,307.03,0,10.7,0,0,0,4.28,0,0,6.42,17.12,0,0,0,1.07,14.98,6.42,0,1.07,0,3.21,0,0,0,0
21Day,4.02,0,13.39,279.75,0,16.06,0,2.68,0,6.69,0,1.34,2.68,36.14,4.02,0,0,0,5.35,2.68,0,0,5.35,1.34,1.34,1.34,0,4.02
3Month,0.32,0.32,0.32,0,0,0,1.28,2.56,0.32,0,0.32,0,0,0.96,0.64,0.32,0,0,0.96,0,0,0,0,0,0,0,0.64,0
22Month,0,0,0.55,0,1.64,0.55,7.11,9.29,0.55,0,6.01,0,0.55,10.39,2.73,0,0.55,0,0.55,0,1.09,0,0,0,0,0,0,1.64
