stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,4.02,0,0,0,0,1.34,0,4.02,0,0,0,10.71
3Month,0,0.64,0,0.64,0,1.92,0,0,0.32,0.32,0.64,0.32,0,0.32,0,0,1.6,0.64,8
22Month,0.55,1.09,1.09,0.55,0.55,5.47,0.55,1.09,6.56,0,0.55,9.29,0,0.55,0,1.09,1.64,0,2.73
