stage,Enterocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neurosecretory_cell
72hpf,0,0,0,0,0,0,0,1.07,0,0,0
21Day,0,0,0,0,0,0,0,1.34,0,0,0
3Month,0,0,0,0,0.96,0.96,0,1.6,0,0,0.32
22Month,0.55,0.55,0.55,2.19,0,0,0.55,8.2,0.55,0.55,0
