stage,Epithelial_cell,Granulocyte,Immune_cell,Immune_progenitor_cell,Macrophage,Neural_cell
21Day,0,0,0,0,0,1.34
3Month,0.96,0,0,0,0,0
22Month,0.55,0.55,1.64,1.09,1.09,0
